,channelGrouping,users,newUsers,sessions,bounceRate,pageviewsPerSession,avgSessionDuration,transactions,transactionRevenue,transactionsPerSession,end date
0,Direct,30,31,81,28.39506172839506,5.604938271604938,379.87654320987656,0,0.0,0.0,2022-01-26
1,Referral,5,1,59,37.28813559322034,3.864406779661017,500.1186440677966,0,0.0,0.0,2022-01-26
2,Social,3,3,3,66.66666666666666,2.0,109.33333333333333,0,0.0,0.0,2022-01-26
