,userType,users,newUsers,sessions,bounceRate,pageviewsPerSession,avgSessionDuration,transactions,transactionRevenue,transactionsPerSession,end date
0,New Visitor,34,35,35,25.71428571428571,7.285714285714286,468.65714285714284,0,0.0,0.0,2022-01-26
1,Returning Visitor,16,0,109,35.77981651376147,3.981651376146789,405.5229357798165,0,0.0,0.0,2022-01-26
